,Unnamed: 0,Line,Keyword_1,Keyword_2,Keyword_3,Keyword_4,Keyword_5,Keyword_6,Keyword_7,Keyword_8,Keyword_9,Keyword_10
205,206,205,Irregular network of veins,Striations,Gabbroic dyke,Cataclastic appearance,Serpentine veins,Wavy green veins,Fracture,Lineations,Alteration halos,Plagioclase alteration
206,207,206,Network,Veins,Serpentine,Gabbroic,Green,White,Dykes,Alteration,Crack,Magnetite
207,208,207,Irregular,White veins,Striations,Cataclastic zone,Serpentine,Gabbroic dyke,Brittle deformation,Magnetite,Altered,Plagioclase
208,209,208,Irregular,Fine,White veins,Reactivating,Gabbroic dyke,Serp veins,Wavy green vein,Brittle open crack,Serp dunite,Patchy serp alteration
209,210,209,White-green veins,Ca-Si?,Gabbroic dyke,Dunite,Altered,Leucocratic pegmatitic,Plag,Px,Serp halo,Carb
210,211,210,White-green veins,Ca-Si,Gabbroic dyke,Altered leucocratic pegmatitic,White plag,Calc silicate,Diopside,Zoisite,Serp halo,Minor carb
211,212,211,irregular,white veins,wavy waxy green vein,gabbroic dyke,serpentinized dunite,coarse-grained,pegmatitic,altered,plag altered white,0
212,213,212,Irregular,Fine,Serp veins,Green rim,Black core,Coalescence,Sigmoidal veinlets,Striations,Serpentinized dunite,Homogeneous
213,214,213,Irregular network,Serp veins,Waxy wavy green,Crosscutting,Black serp,Zig zag veins,Serpentinized dunite,Altered gabbroic dyke,White minerals,Brown amphibole
214,215,214,Irregular network,Fine,White,Wavy,Waxy,Light green,Subvertical,Open,Black,Bulk and veins
215,216,215,Irregular,Fine,Serp veins,Wavy,Green,Gabbroic dyke,Ductile,Serpentinized dunite,Altered,Plag
216,217,216,Microbio sample,Black,Serpentinized,Dunite,Magnetite,Altered,Gabbroic,Dyke,Top,Geology
217,218,217,Serpentine veins,Multiple veinlets,Waxy,Grey,Crosscutting,Green veins,Serpentinized dunite,Magnetite,Alteration zone,Lineation
218,219,218,Irregular network,Fine white serp veins,Green grey veins,Wavy waxy dark veins,Deformed alteration zone,Serpentinized dunite,Magnetite,Pegmatitic gabbroic dykes,Plag altered white minerals,Px altered green minerals
219,220,219,Irregular,Serpentine,Gray,Deformation,Gabbro,Crosscutting,Cataclastic,Alteration,Magnetite,Plagioclase
220,221,220,Black green serp,Veins,Wavy veinlets,Cataclastic zone,Lineations,Slickensides,Open crack,Serpentinized dunite,Magnetite,Alteration halos
221,222,221,Serp veins,Green serp veins,Gabbroic dykes,Offset,Crack,Dunite,Alteration halo,Magnetite,Subvertical,Px alteration
222,223,222,Serp veins,Gabbroic dykes,Alteration halo,Black serpentinized dunite,Leucocratic coarse-grained altered gabbroic dykes,Coarse-grained altered gabbroic dykes,Bulk serpentinization,White minerals,Clay minerals,Amph or chl
223,224,223,Serp veins,White veins,Wavy,Green veins,Coalescence,Fragmented,Black dunite,Magnetite,Carb,Veinlets
224,225,224,white veins,Ca-Si,gabbroic dyke,high abundance,open fracture,powdery appearance,micro-grains,pegmatitic,calcite crystal,high alteration zone
225,226,225,white,fine carb,serp veinlets,fragmented,angular clasts,gabbroic dyke,dunite,alterated black serp dunite,magnetite,green alteration
226,227,226,Fine,White,<1mm,Carb,Vein network,Highly deformed,Fragmentation,Alteration zone,Calcite crystal,Gabbroic dykes
227,228,227,Light green,wavy waxy serp veins,altered gabbroic dykes,black serpentine veins,microgabbro,deformation,dunite,gabbroic dykes,bulk serpentinization,intense alteration halos
228,229,228,Serp veins,Black serp veins,Green serp veins,Crosscutting,Dense white serp network,Cataclastic zone,Fragmented part,Open cracks,Magnetite,Altered gabbroic dyke
229,230,229,gabbroic dyke,veins,alteration,deformation,texture,lineation,serpentinized dunite,magnetite,micro-gabbroic dykes,carb
230,231,230,Irregular,Fine,Serp veins,Wavy,Green,Parallel,Coalescence,Black,Dunite,Gabbroic dykes
231,232,231,Veins,Serpentine,Gabbroic dykes,Core barrel,Cracks,Brittle mesh texture,Dunite,Magnetite,Alteration halos,Homogeneous
232,233,232,White,Concentrated,Wavy,Waxy,Vugs,Lineation,Clasts,Heterogeneous,Dyke,Serp
233,234,233,white Ca-Si veins,deformed,altered gabbroic dyke,variable texture,micro to pegmatitic grain size,clay minerals,zeosite,albite,px alteration,amph or chl
234,235,234,2mm thick white veins,Serpentine,Ca-Si,Talc,Deformed gabbroic dyke,Rondingitic alteration zone,Sub-vertical white veins,Micro to pegmatitic grain,Albite,Clay minerals
235,236,235,Network,White serp veins,Micro-gabbroic dyke,Wavy waxy green serp veins,Lineations,Slickensides,Black serpentinized dunite with magnetite,Gabbroic dyke,Alteration patches,Serp in veins and bulk
236,237,236,fine white serp veins,green rim veins,gabbroic dyke offset,alteration halo offset,lineation,slickensides,dunite,magnetite,pegmatitic gabbroic intrusion,serpentine veins
237,238,237,Dip,Thickness,Serpentine,Vein Network,Waxy,Green,Alteration Zone,Lineation,Slickensides,Magnetite
238,239,238,Dense,Irregular,Network,Fine,White/black,Serpentinized,Dunite,Magnetite,Veins,Bulk
239,240,239,Irregular,Fine,White,Serp,Veins,Dip,Black,Serpentinized,Magnetite,Bulk
240,241,240,0,0,0,0,0,0,0,0,0,0
241,242,241,Serp veinlets,Green serp veins,Gabbroic dyke,Frankenstein texture,60 degree dip,Black dunite,Magnetite,Altered gabbroic dykes,Green alteration halos,Variable thickness
242,243,242,serp veins,black green veins,mesh texture,dunite,gabbro,altered minerals,magnetite,network,coalescence,chlorite
243,244,243,Irregular,Serpentine veins,Wavy,Green,Gabbroic dykes,Patchy alteration zone,White,Dip 80 degrees,Black serpentinized dunite,Alteration halos
244,245,244,Serpentine veins,Black core,Alteration zone,Wavy waxy,Gabbroic dyke,Magnetite,Dunite,Ductile deformation,White veins,Bulk serp
245,246,245,White green veins,Gabbroic dyke,Fine serpentine veins,Cataclastic zone,Black serpentinized dunite,Magnetite,Altered gabbroic dyke,Altered white minerals,Clay minerals,Grey alteration halo
246,247,246,white,veins,Ca-Si,deformed,altered,gabbroic dyke,textures,micro-grains,pegmatitic grains,clay minerals
247,248,247,serpentine,gabbroic dyke,vein network,lineations,slickensides,fracture,altered,micro to pegmatitic grain,white minerals,variability
248,249,248,Irregular network,Fine veins,White and green serp,Wavy waxy serp veins,Dark brown areas,Striations,Lineation,Serp mesh texture,Black serpentinized dunite,Magnetite and Px
249,250,249,Network,Serpentinization,Veins,Gabbroic dyke,Calcite,Fracture,Magnetite,Px,Alteration halos,Reactivation
250,251,250,Irregular network,Fine veins,White and black,Serpentinized,Dykes,Coalescence,Open cracks,Magnetite,Altered,Halos
251,252,251,Irregular network,Serpentine veins,Gabbroic dykes,Mesh texture,Fractures,Dunite,Pegmatitic gabbroic dykes,Sulfides,Deformation zone,Alteration
252,253,252,irregular network,fine veins,white and black serp,branching,crosscutting,gabbroic dyke,prograding,dunite,magnetite,MicroBio sample
253,254,253,Serpentine network,Gabbroic dykes,Calcium carbonate,Veins,Branching,Fracture,Black serpentinized dunite,Gabbroic dyke events,Alteration,Overprinting
254,255,254,Irregular network,Serp veins,White and black,Branching,Green wavy waxy,Open fractures,Slickensides,Black serpentinized dunite,Gabbroic dykes,Variable alteration
255,256,255,Serp veins,Prefered orientation,Wavy waxy,Cross-cutting,Gabbroic dykes,Dunite,Magnetite,Altered,Intrusions,Alteration halos
256,257,256,Irregular,Serp veins,Green waxy wavy,Fractures,Dyke,Striations,Open fractures,Lineation,Black serpentinized dunite,Magnetite
257,258,257,Irregular network,White serp veins,Green serp veins,Coalescence,Crystal serp,Wavy waxy veins,Lineation,Slikensides,70 degree dip,Black dunite
258,259,258,fine white serp veins,wavy waxy green serp veins,black and green serp veins,open crack,lineation,slikensides,serpentinized dunite,pegmatitic altered gabbroic dyke,alteration zone,bulk serp
259,260,259,irregular network,serpentine veins,crosscutting veins,wavy waxy veins,zig-zag veins,high intensity,slickensides,open crack,magnetite,high density
260,261,260,Serpentine veins,Network,White veins,Black veins,Waxy green veins,Alteration zone,Lineations,Slickensides,Dunite,Magnetite
261,262,261,Irregular network,Fine veins,Calcium carbonate,Gabbroic dyke,Crosscutting,Striations,Offset,Open fractures,Magnetite,Harzburgitic zone
262,263,262,Serpentine veins,Branching,Striations,Green serpentine veins,Open fractures,Gabbroic dykes,Black veins,Open cracks,Lineations,Sulphides
263,264,263,Serp veins,Green serp veins,Black serp veins,Wavy waxy white veinlets,Lineation,Slickenslides,Open cracks,Black serp dunite,Altered micrograined gabbroic dyke,Serp in bulk
264,265,264,Wavy,Waxy,White,Green,Serp,Dense,Fault zone,Gabbroic dyke,Altered,Magnetite
265,266,265,Microbio sample,Black serp dunite,Magnetite,Alterd gabbroic dyke,Fault zone,Bulk,Veins,Serp,Sample analysis,Geological investigation
266,267,266,Serp veins,Calcium carbonate,Gabbroic dyke,Fracture,Lineation,Slickensides,Sulfide,Magnetite,Altered gabbroic veins,Alteration halo
267,268,267,serp veins,gabbroic intrusion,crosscutting veins,magnetite,cataclastic zone,wavy waxy veins,subvertical dipping,black serpentinized dunite,gabbroic dyke,lineation
268,269,268,Serp veins,black cores,white mantle,calcium carbonate,branching,slickensides,dunite,magnetite,gabbroic dyke,alteration
269,270,269,Serp veins,Calcium carbonate,Wavy,Gabbroic dykes,Dunite,Fracture,Black,Altered,Bulk,Minor
270,271,270,Serp veins,White,Black,Green,Gabbroic dykes,Offset,Open cracks,Lineations,Slickensides,Altered
271,272,271,Irregular,Serp veins,Dense net,Gabbroic dyke,Wavy waxy,Zig zag vein,Offset,Open crack,Dunite,Sulfur
272,273,272,Waxy,wavy,serp veins,gabbroic dyke,open fracture,slickensides,dunite,magnetite,sulfides,alteration
273,274,273,Irregular network,serp veins,gabbroic dykes,open cracks,slickensides,lineation,dunite,sulfide,rodingitic gabbroic dyke,crosscutting
274,275,274,Reactivation,Gabbroic dykes,Green serp veins,White serp veins,Black serp veins,Lineation,Fracture,Slickensides,Dunite,Rodingitic gabbro
275,276,275,Irregular network,Serpentine veins,Gabbroic dyke,Dunite,White/black/green,Slickensides,Lineation,Magnetite,Altered,Reactivation
276,277,276,subhorizontal,serpentine,veins,density,fracture,dunite,magnetite,Px,bulk,network
277,278,277,white bands,veins,cataclastic zone,ductile deformation,dunite clasts,gabbroic dyke,crosscutting,altered,micro-grained,rodingitic alteration
278,279,278,Network,Fine,White,Serp,Larger,Black,Coalescence,Dunite,Magnetite,Bulk
279,280,279,Serp veins,Network,Fine,Wavy,Waxy,Green,Gabbroic dyke,Lineation,Dunite,Px
280,281,280,Serp veins,Frankstein veins,Waxy green veins,Open crack,Black serpentinized dunite,Magnetite,Altered gabbroic dykes,Gabbroic patches,Serp in veins and bulk,Thickness
281,282,281,Serpentine,Veins,Gabbroic dykes,Offset,Lineation,Open cracks,Black dunite,Magnetite,Alteration,Bulk
282,283,282,Serp veins,White,Black,Subhorizontal,Waxy,Green,Gabbroic dyke,Dunite,Altered,Fracture
283,284,283,Wavy,Waxy,White,Green,Serpentine,Veins,Branching,Fault zone,Ductile deformation,Sulfides
284,285,284,Serpentine,Veins,Polygenetic,Irregular network,White and black,Branching,Wavy waxy,Cross-cutting,Magnetite and px intrusion,Altered gabbroic dyke
285,286,285,Irregular,Serp veins,Wavy,Gabbroic dykes,Dunite,Striations,Magnetite,Px,Open cracks,Altered
286,287,286,Serp veins,Gabbroic dykes,Black veins,Crosscutting,Wavy,Green,Striations,Magnetite,Altered,Bulk
287,288,287,Serpentine,Veins,Gabbro,Intrusions,Magnetite,Dunite,Altered,Dyke,Striations,Crack
288,289,288,Serpentine veins,White veins,Black veins,Lineation,Slickensides,Dunite,Magnetite,Cataclastic appearance,Intensity of veining,Serpentinization
289,290,289,Irregular,Serpentine veins,White and black,Green waxy veins,Pinkish green,Thickness,Fracture,Black serpentinized dunite,Magnetite and Px,Overprinting gabbroic dyke
290,291,290,Subhorizontal,Serpentine vein,White core,Green selvages,40-60 degree dip,Black veins,Irregular network,Fine white veins,Striations,Serpentinized dunite
291,292,291,White veins,Gabbroic dyke,Serp veins,Irregular network,90 deg intersections,Vein intensity,Striations,Open fracture,Black serpentinized dunite,Coarse grained gabbroic dyke
292,293,292,irregular,fine,serp veins,green black selvages,black serpentinized dunite,magnetite,microbio sample,bulk,vein,0
293,294,293,Irregular network,Serp veins,Green-black vein,Waxy-wavy veins,Crosscutting,Striations,Gabbroic dyke,Black serpentinized dunite,Altered gabbroic dyke,Serp in bulk
294,295,294,Serp veins,White veins,Pyroxene veins,Gabbroic veins,Striations,Crack,Dunite,Magnetite,Pegmatitic px,Blue serp
295,296,295,Irregular network,White serp veins,Magmatic dykes,Black serp vein,Frankenstein,Open cracks,Serpentinized dunite,Gabbroic dyke,Px impregnation,Altered gabbroic
296,297,296,Serp veins,Gabbroic veins,Fracture,Magnetite,Microgabbro dyke,Leucocratic gabbro dyke,Anastomosing gabbroic dyklets,Serpentinized dunite,Altered gabbroic dykes,Minor Serp
297,298,297,Waxy,Wavy,Green,Blue,Subvertical,Serpentine,Irregular,White,Magnetite,Striation
298,299,298,Irregular,Fine veins,White serp,Green-blue,Wavy-waxy,Perpendicular vein,Striations,Slickensides,Black serpentinized dunite,Magnetite Serp
299,300,299,Irregular network,Serp veins,White,Green,Blue,Wavy,Perpendicular,Density increase,Striations,Slickesides
300,301,300,Irregular,Fine,White,Wavy,Perpendicular,Selvage,Black,Striations,Slickensides,Magnetite
301,302,301,Irregular,Fine,White serp veins,Green serp vein,Black selvage,Striations,Core barrel,Serpentinized dunite,Magnetite,Serp in bulk
302,303,302,Green,Blue,Waxy,Veins,Offset,Serpentinization,Dunite,Gabbroic dyke,Slickensides,Magnetite
303,304,303,Irregular network,Fine white serp veins,Branching,Green waxy serp veins,Highland altered zone,Striations,Black serpentinized dunite,Magnetite,Gabbroic,Serp in bulk and veins
304,305,304,Green,Blue,Waxy,Serp,Veins,Cross-cutting,White,Striations,Magnetite,Dunite
305,306,305,Light green,Serpentine veins,Thickness (<3mm),Black green,Serpentine vein network,Fine white veins,Sub-parallel,Striations,Magnetite,Black selvages
306,307,306,Blue green waxy,Subhorizontal veins,White serp vein,Irregular network,Fine white serp veins,Parallel veins,Green black waxy serp veins,Striations,Black serpentinized dunite,Magnetite
307,308,307,Irregular network,white serp veins,subparallel,green serp veins,subvertical,black serpentinized dunite,magnetite,altered px dyke,highly altered,bulk and vein
308,309,308,Irregular,Serpentinite,Thin,White veins,Black dunite,Magnetite,Altered pyroxene,Microbes,Bulk,Veins
309,310,309,High density network,Blue black serp veins,Green subvertical serp vein,Fractured gravel zone,Black serpentinized dunite,Magnetite,Highly serp zone,Bulk and vein serp,Sulfide,Chalcopyrite
310,311,310,Deformed,serpentinized dunite,blue and black veins,green waxy veins,white and blue serp veins,Bel Serp,0,0,0,0
311,312,311,Wavy,Waxy,Subvertical,White,Serp veins,Black serpentinized dunite,Blue and brown veins,Highly deformed,Highly altered zone,Bulk serp
312,313,312,Green-blue serp,Vein,Calcium carbonate,Unit 1 and Unit 2,Brecciated,Harzburgite,Black serpentinized,Crosscut,Bulk,Subvertical
313,314,313,Green,Subvertical,Serpentine,Veins,Waxy,Network,White selvage,Brecciated,Harzburgite,Px-rich zones
314,315,314,Zone,Fine veins,Green serp veins,Serpentinized harzburgite,Gabbroic dyke,Network of px veins,Px rich zone,Serp in bulk and vein,Altered px and gabbroic dykes,Variable
315,316,315,Brown serp vein,Black serpentinized harzburgite,Px rich zone,Strongly white,Green serp veined zone,Large white minerals,Magmatic dyklets,Bulk serp,Vein,Section
316,317,316,Black serpentinized harzburgite,px rich dyke,<3mm thick px veins,large serpentine vein,waxy wavy serpentine veins,altered px veins,variable,bulk serpentine,vein serpentine,association
317,318,317,serp veins,magmatic intrusions,black serpentinized harzburgite,dyklets,altered gabbroic dykes,network of microgabbro,diabase,bulk serp,highly altered,connected
318,319,318,Serp,Vein,Magmatic,Dyklets,Wavy,Green,Striation,Harzburgite,Microgabbro,Px
319,320,319,green,blue,sub-vertical,serpentine veins,black,serpentinized harzburgite,px-rich dykes,sub-horizontal,bulk,variably altered
320,321,320,Veins,Serpentine,Gabbros,Dykes,Harzburgite,Pyroxenite,Crosscutting,Thickness,Bulk,Connected
321,322,321,Black,Serpentinized,Harzburgite,Crosscut,Microgabbro,Dyke,Microbio sample,Bulk,Vein,Altered
322,323,322,white,blue,serpentine,veins,gabbro,pxnite,dikelets,altered,magmatic dykes,variably altered
323,324,323,hydrothermal veins,serp veins,gabbroic dyke,altered,px-rich veins,leucocratic vein,sulfide,copper,black serpentinized harzburgite,blue green veins
324,325,324,Serp veins,PX-rich veins,Black serpentinized harzburgite,Intersection,Hydrothermal veins,White brown,Top of section,Bulk serp,Variable,Altered
325,326,325,Altered hydrothermal vein network,Reddish brown,White,Sulfide,Copper,Black serpentinized harzburgite,Leucocratic dyke,Px-rich vein,Subvertical,Highly altered
326,327,326,White blue serp veins,Microgabbroic dykes,Black serpentinized harzburgite,Gabbroic veins,Hydrothermal vein,Serpentine,Alteration,Crosscutting,Thickness,Variability
327,328,327,White,Blue,Gray,Hydrothermal,Vein,Serpentinization,Harzburgite,Zone,Gabbroic,Pixel-rich
328,329,328,Irregular network,fine,white serp veins,hydrothermalized zones,branching,black serpentinized harzburgite,px-rich vein,hydrothermal veins,sulfide,copper
329,330,329,Irregular network,Fine veins,White serp,Hydrothermalized zones,Branching,Black serpentinized harzburgite,Hydrothermal altered zone,Reddish brown hydrothermal veins,Px-rich veins,Highly altered
330,331,330,Irregular,Fine,Serp veins,Hydrothermal alteration,Blue white gray,Serp veins <5mm thick,Serpentinized harzburgite,Px-rich subvertical vein,Variable thickness,Altered px-rich
331,332,331,Black serpentinized harzburgite,altered px-rich vein,hydrothermalized zone,white veins,bulk serpentinization,blue-white network,variable alteration,hydrothermal veins,crosscutting,thickness
332,333,332,blue white,serpentine veins,network,dykes,harzburgite,altered vein,melanocratic zone,bulk,variable,intersections
333,334,333,Hydrothermal veins,Gabbroic intrusion,Green veins,Microgabbroic vein,Black serpentinized harzburgite,Px-rich veins,Microgabbroic dyke,Serpentinized,Altered,Gabbroic
334,335,334,Serp vein,network,green,irregular,white,black serpentinized harzburgite,altered,px-rich veins,microgabbroic vein,bulk
335,336,335,Irregular network,Fine white serp veins,branching,green waxy serp veins,crosscutting,dyke,harzburgite,micromelano gabbro,highly altered,bulk Serp
336,337,336,Black serpentinized harzburgite,Melanocratic microgabbro,Dyke,Subhorizontal,White hydrothermal vein,Microbio sample,Serpentinized,Vein,Bulk,Crosscut
337,338,337,white-green vein,network,subvertical,hydrothermal,striation,serpentinized harzburgite,subhorizontal,py rich veins,bulk and veins,<5mm px-rich vein
338,339,338,Hydrothermalized zone,Green vein,Chlorite,Brown-green diffuse zones,White veins,Serpentine veins,Striations,Black serpentinized harzburgite,Px rich veins,Top 19 cm
339,340,339,Hydrothermal vein,Serpentine veins,Gabbroic dykes,Black serpentinized harzburgite,Cross-cutting veins,Px (pyroxene) rich veins,Alteration,Intersection,Thickness,Offset
340,341,340,Hydrothermal vein,Pyroxenite,White veins,Gabbros,Branching,Black serp harzburgite,Microgabbroic dyke,Dunite,Highly altered gabbros,Cross-cut
341,342,341,Hydrothermal network,Blue-white,Altered gabbro,90 degree intersections,White irregular vein,Black serp harzburgite,Cross-cut,Px rich gabbro,Serp in bulk,Highly altered
342,343,342,White,brown,veins,gabbro,green,network,altered zones,hydrothermalized,serp harzburgite,px rich gabbr
343,344,343,irregular network,green-black-white veins,hydrothermalized zone,rodingitization,serpentine,gabbroic dykes,px rich veins,hydrothermal zone,pervasive alteration,relics
344,345,344,Blue green vein network,90-degree branching,Leucocratic vein,White blue veins,Gabbros,Pxinite,Serpentinized harzburgite,Leucocratic dyke,Pyxenite,Dunitic zones
345,346,345,Top vein,White green,White veins,Hydrothermal network,Green,Minor brown,Rodingite,Serpentinized harzburgite,Pxnite veins,Gabbroic dykes
346,347,346,White vein network,Serpentinite vein,Altered pxnite,Thin blue veins,Crosscutting veins,Serpentinized harzburgite,Hydrothermalization,Interconnected network,Striation,Pxnite alteration
347,348,347,Blue-green vein,Sub-vertical,<4mm thick,Vein branching,Hydrothermal zone,Altered pxnite,White thin vein,Irregular network,Serpentinized harzburgite,Highly altered zone
348,349,348,Serpentine,Veins,Gabbros,Hydrothermal zone,Brecciated textures,Harzburgite,Dykes,Pyxenite,Rodingite,Altered
349,350,349,serpentine,hydrothermal veins,microgabbro,pxnite,altered,branching,gabbroic veins,rodingite,offset,crosscut
350,351,350,Black,Serpentinized,Harzburgite,Gabbroic veins,White veins,Microbio sample,Crosscut,Thin,Composition,Geology
351,352,351,Wavy,Waxy,Blue vein,Branching,Altered pxnite,Striation,Green vein,Serpentinized harzburgite,Rodingite,Replacive
352,353,352,abundant,green and white veins,altered gabbroic veins,serpentinized harzburgite,microgabbroic zone,px-rich dike,green amphibole,highly altered zone,croscutting,serp bulk
353,354,353,Subvertical,Serp veins,Green,White,Irregular,Network,Magmatic veins,Dyke,Harzburgite,Altered
354,355,354,Network,Subvertical,Serpentine veins,White veins,Offset,Harzburgite,Altered veins,Highly veined,Serpentinite,Variable
355,356,355,Irregular network,White serp,Calcium carbonate,Magmatic intrusions,Offsets,Serpentinized harzburgite,Altered microgabbroic dykes,Px-rich veins,Hydrotherm serp,Sulfide
356,357,356,Irregular network,Fine white serp vein,Black serpentinized harzburgite,Microgabbroic vein,Hydrothermalization,Px-rich veins,Waxy white veins,Green veins,Sulfide,Altered zone
357,358,357,White,Green,Black,Serpentine vein,Microgabbroic texture,Calcium carbonate,Harzburgite,Altered px-rich vein,Hydrothermalized vein,Variable altered magmatic veins
358,359,358,"serpentinization,","veins,","harzburgite,","gabbroic,","alteration,","green,","white,","calcium carbonate,","hydrothermal, and",microgabbroic texture
359,360,359,thin network,black serp veins,white veins,mafic veins,blue green,serpentine veins,local offset,harzburgite,altered mafic veins,petrography
360,361,360,fine thin black vein network,fine white serp locally green vein network,<3 mm white veins,irregular greenish blue veins,leucocratic dykes,pxnite veins offset gabbro veins,striation,Black serpentinized harzburgite,gabbroic veins,altered mafic veins
361,362,361,Black serp vein network,White serp network,Green to white veins,Altered micro gabbro,Gabbro veins,Harzburgite,Altered zone,Leucocratic vein,Mafic veins,Pxnite vein
362,363,362,Serp network,White vein network,Blue subvertical veins,Pyxenite veins,Altered pxnite,Harzburgite,Crosscutting,Thickness,Rodingite,66cm to the bottom
363,364,363,black,white,serpentine,veins,network,blue,harzburgite,bulk,serpentinized,size
364,365,364,Serpentinization,Vein network,Blue veins,White veins,Gabbroic veinlet,Harzburgite,Crosscutting,Alteration,Fine,Location
365,366,365,Serp veins,Green hydrothermal veins,Magmatic intrusions,White waxy veins,Harzburgite,Altered dyke,Sulfide,Garnet,Crosscutting,Variable
366,367,366,Fine,Network,Black,Serp veins,Waxy,White,Crosscut,Branching,Magmatic intrusions,Serpentinized
367,368,367,fine black serp vein network,<2mm,green white serp veins network,dense,mafic intrusions,offset,crosscut,fractures,variably altered,bulk
368,369,368,Black serpentinized harzburgite,Waxy green white vein network,Magmatic intrusion,Deformation,Altered gabbroic intrusions,Microgabbro and pxnites,Offset in gabbroic intrusions,Serpentinization in bulk and vein,Patchy blue alteration,Altered mafic intrusives
369,370,369,Black serpentinized harzburgite,Fine vein network,< 1mm parallel blue green serp veins,< 2mm waxy green veins,Offset,Altered microgabbro,Highly altered magmatic intrusion,Bulk,Veins,Green grey
370,371,370,Serpentinization,Vein networks (black and white),Magmatic intrusions,Offset,Hydrothermal veins,Harzburgite,Gabbroic veins,Pxinite,Alteration,Dykes
371,372,371,Fine black/white serp vein network,blue white waxy veins,magmatic intrusions,offsets,serpentinized harzburgite,pxnites,gabbroic intrusions,variably altered,bulk,veins
372,373,372,fine black serp veins,subvertical blue white waxy veins,magmatic intrusions,pxnite,variable thickness,offsets,bulk and veins,altered,patchy waxy blue green zones,0
373,374,373,Serpentinized,Veins,Network,Hydrothermal,Altered,White,Black,Subvertical,Top,Patchy
374,375,374,black serpentinized harzburgite,gabbroic vein,magmatic intrusion,microgabbro,serpentinization,melanocratic,blue waxy zones,crosscutting,offsets,alteratio
375,376,375,black serpentine veins,prehnite,mafic dikes,gabbro,pyroxene,crosscutting,serpentinization,microgabbroic dike,alteration,green margins
376,377,376,Vein network,White vines,Gabbron Concentration,Mafic dikes,Serpentinized harzburgite,Magmatic zones,Rodingite,Coarse grained gabbro,Pyroxene rich gabbro,Serpentine
377,378,377,Serpentine veins,Disrupted,Irregular,Moderate dipping,Sheared,Serpentinitised zone,Harzburgite,Mafic dikes,Altered,Garnet
378,379,378,1mm,white,serp veins,blue,crosscutting,gabbro,pxnite,serpentinized,harzburgite,altered
379,380,379,black,white,serpentinized,harzburgite,microbio sample,bulk,vein,network,fine,serp
380,381,380,Fine white serp vein network,Serpentine vein crosscutting,Altered magmatic intrusions,Black serpentinized harzburgite,Coarse gabbro dike,Px rich veins,Altered pxnite (rodingite),Gabbro,Branching,Bulk serpentinization
381,382,381,Black,Serpentine vein,White-grey vein network,Bottom,Short white veins,Altered pxnite,Harzburgite,Rodingite,White-blue wazy zones,Crosscut
382,383,382,Blue,White,Waxy veins,Serpentinized magmatic intrusion,Hydrothermal vein,Serpentine,Harzburgite,Pxnite,Crosscutting,Network
383,384,383,Fine serp veins,Wavy waxy veins,Gabroic dyke,Subvertical veins,Black serpentinized harzburgite,Px-rich gabbro,Coarse gabbro,Serp in bulk and veins,Altered pxnite,Rodingite
384,385,384,wavy,serpentine,veins,gabbro,shearing,harzburgite,crosscut,altered,rodingitic,magmatic
385,386,385,2mm clear white veins;,Gabbroic veins;,Pxnite veins;,Hydrothermal veins;,Alteration;,Serpentinized harzburgite;,Deformed gabbroic dyke;,Sheared;,Rodingite;,Highly altered gabbro
386,387,386,2 mm,white,blue veins,gabbro,crosscutting,black,serpentinized harzburgite,px-rich microgabbro,altered gabbro,waxy blue patches
387,388,387,Green-blue serpentine veins,White core,Offset,Hydrothermal veins,Deformed,Serpentinized harzburgite,Px-rich veins,Red veins,Black serpentine,Network
388,389,388,white,green,hydrothermal veins,gabbros,serp veins,pxnite,shearing,harzburgite,microgabbro,alteration
389,390,389,Serpentinization,Veins,Hydrothermal,Gabbro,Crosscutting,Px-rich,Harzburgite,Pxnite,Altered,Intrusions
390,391,390,4mm,Dark green serp,White locally,Red zones,Fez waxy blue,White veins,Black serpentinized harzburgite,Microgabbro,Serp veins network,Altered microgabbro
391,392,391,subparallel,veins,gabbros,serpentine,offset,crosscutting,harzburgite,microgabbro,altered,patches
392,393,392,Serpentine,Black,Dunite,Pxnites,Microgabbro,Alteration,White pl,Network,5mm,Bulk
393,394,393,Vein network,Mafic intrusions,Hydrothermal veins,Gabbro,Magmatic intrusions,Serpentinized harzburgite,Px-rich zone,Pxnite,Microgabbro,Alteration
394,395,394,black,serpentinized,harzburgite,crosscut,gabbroic dyke,microbio sample,bulk,veins,fine,network
395,396,395,Fine,White,Serpentine,Vein network,Black,Serpentinized,Px-poor harzburgite,Bulk,Fine black,Veins
396,397,396,Serpentine veins,Green and black cores,Croscuts,Pxnite,Gabbro,Serpentinized harzburgite,Alteration,White pl,Fine black serp vein network,Waxy green areas
397,398,397,Serpentine,White veins,Dark green veins,Dunite,Gabbro,Harzburgite,Pxnite,Altered,Crosscut,Patchy
398,399,398,Serp veins (2-7mm),Hydrothermal veins (up to 12mm),Crosscutting veins,White reddish hydrothermal veins,Serpentinized harzburgite,Black serp veins,Hydrothermal veins (10mm),Px rich gabbroic vein,Offset veins,Mineral alteration
399,400,399,5mm,White with green and waxy orange patches,Hydrothermal veins,3mm dark green veins,Waxy white veins,Shearing,Gabbro,Offset,Serpentinized harzburgite,Overprinting
